theme,subtheme,count
Updates from the projects,Enhancing teacher agency with technology: Creating an ecological model through a place-based study of teaching and learning PI: John Gordon,4
Updates from the projects,Investigating the recruitment and retention of ethnic minority teachers PI: Stephen Gorard,2
Updates from the projects,Investigating the recruitment and retention of ethnic minority teachers and its relationship to school outcomes PI: Stephen Gorard,2
Updates from the projects,"Investigating the recruitment and retention of ethnic minority teachers, and its relationship to school outcomes PI Stephen Gorard",1
Updates from the projects,"Investigating the recruitment and retention of ethnic minority teachers, and its relationship to school outcomes PI: Stephen Gorard",2
Updates from the projects,"Investigating the recruitment and retention of ethnic minority teachers, and its relationship to school outcomes. PI: Stephen Gorard",1
Updates from the projects,No subtheme,7
Updates from the projects,PI: John Gordon,1
Updates from the projects,Rethinking teacher recruitment: New approaches to attracting prospective STEM teachers PI: Robert Klassen,1
Updates from the projects,Sustainable school leadership: comparing approaches to the training supply and retention of senior school leaders across the UK PI: Toby Greany,1
Updates from the projects,"Sustainable school leadership: comparing approaches to the training, supply and retention of senior school leaders across the UK PI Toby Greany",6
Updates from the projects,Teaching for digital citizenship: Digital ethics in the classroom and beyond PI David Lundie,2
Updates from the projects,Teaching for digital citizenship: Digital ethics in the classroom and beyond it PI: David Lundie,2
Updates from the projects,Towards equity focused approaches to EdTech: a socio-technical perspective PI: Rebecca Eynon,1
What Matters in Education?,No subtheme,37
What are the politicians saying?,No subtheme,5
What matters in education?,No subtheme,208
What matters in education?,Opportunities,1
"You have indicated that you are happy to receive news and updates from the ESRC Education Research Programme. To unsubscribe, please email Elizabeth.hudson@ucl.ac.uk with the word UNSUBSCRIBE in the title of the email.",No subtheme,28
